TEAM,MATCH_UP,GAME_DATE,OUTCOME,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
SAS,SAS @ OKC,44507,L,240,94,41,100,41,6,30,20,6,9,66.7,11,35,46,29,9,10,10,16,-5
SAS,SAS @ ORL,44505,W,240,102,40,90,44.4,6,19,31.6,16,18,88.9,5,43,48,23,11,7,13,14,13
SAS,SAS vs. DAL,44503,L,240,108,43,88,48.9,7,21,33.3,15,20,75,5,35,40,25,10,10,15,24,-1
SAS,SAS @ IND,44501,L,240,118,47,89,52.8,14,28,50,10,14,71.4,8,28,36,34,6,4,17,9,-13
SAS,SAS @ MIL,44499,W,240,102,39,95,41.1,7,31,22.6,17,24,70.8,8,41,49,28,12,3,10,13,9
SAS,SAS @ DAL,44497,L,240,99,39,88,44.3,12,30,40,9,15,60,11,37,48,21,6,11,15,16,-5
SAS,SAS vs. LAL,44495,L,265,121,48,108,44.4,13,36,36.1,12,22,54.5,16,43,59,33,10,6,16,22,-4
SAS,SAS vs. MIL,44492,L,240,111,48,99,48.5,10,39,25.6,5,6,83.3,10,28,38,29,10,4,13,18,-10
SAS,SAS @ DEN,44491,L,240,96,40,84,47.6,6,24,25,10,14,71.4,7,32,39,24,11,2,20,17,-6
SAS,SAS vs. ORL,44489,W,240,123,49,98,50,13,30,43.3,12,18,66.7,13,30,43,32,8,3,8,22,26
TOR,TOR @ POR,44515,L,240,113,41,89,46.1,15,33,45.5,16,18,88.9,12,27,39,20,7,2,11,17,-5
TOR,TOR vs. DET,44513,L,240,121,44,87,50.6,13,34,38.2,20,31,64.5,15,24,39,21,9,1,13,25,-6
TOR,TOR @ PHI,44511,W,240,115,42,96,43.8,14,33,42.4,17,17,100,16,31,47,25,10,7,12,18,6
TOR,TOR @ BOS,44510,L,240,88,33,77,42.9,6,25,24,16,19,84.2,6,35,41,20,8,8,18,17,-16
TOR,TOR vs. BKN,44507,L,240,103,41,87,47.1,7,30,23.3,14,18,77.8,8,27,35,23,10,6,8,16,-13
TOR,TOR vs. CLE,44505,L,240,101,42,99,42.4,12,27,44.4,5,9,55.6,19,26,45,20,10,8,10,19,-1
TOR,TOR @ WAS,44503,W,240,109,41,88,46.6,10,25,40,17,20,85,10,32,42,17,10,3,12,23,9
TOR,TOR @ NYK,44501,W,240,113,43,99,43.4,14,42,33.3,13,14,92.9,13,35,48,24,12,4,9,20,9
TOR,TOR @ IND,44499,W,240,97,39,92,42.4,11,32,34.4,8,12,66.7,12,36,48,18,8,4,18,17,3
TOR,TOR vs. ORL,44498,W,240,110,43,86,50,9,30,30,15,22,68.2,9,31,40,18,11,2,8,18,1
TOR,TOR vs. IND,44496,W,240,118,46,100,46,14,30,46.7,12,19,63.2,16,25,41,22,18,6,12,20,18
TOR,TOR vs. CHI,44494,L,240,108,40,83,48.2,12,30,40,16,20,80,13,34,47,27,8,1,21,18,-3
TOR,TOR vs. DAL,44492,L,240,95,34,85,40,11,37,29.7,16,23,69.6,11,38,49,17,7,6,12,23,-8
TOR,TOR @ BOS,44491,W,240,115,42,100,42,10,35,28.6,21,21,100,21,39,60,22,16,2,12,13,32
TOR,TOR vs. WAS,44489,L,240,83,30,97,30.9,7,34,20.6,16,22,72.7,19,35,54,14,10,4,19,21,-15
UTA,UTA vs. PHI,44516,W,240,120,46,89,51.7,16,38,42.1,12,19,63.2,6,50,56,27,5,8,11,20,35
UTA,UTA vs. MIA,44513,L,240,105,35,85,41.2,17,53,32.1,18,25,72,12,26,38,23,13,2,17,19,-6
UTA,UTA vs. IND,44511,L,240,100,39,83,47,9,32,28.1,13,23,56.5,7,30,37,22,6,4,12,16,-11
UTA,UTA vs. ATL,44509,W,240,110,41,81,50.6,15,38,39.5,13,16,81.3,8,36,44,21,8,4,15,20,12
UTA,UTA @ ORL,44507,L,240,100,34,89,38.2,8,42,19,24,29,82.8,16,34,50,21,10,7,18,17,-7
UTA,UTA @ MIA,44506,L,240,115,43,83,51.8,15,45,33.3,14,19,73.7,7,24,31,26,10,3,6,19,-3
UTA,UTA @ ATL,44504,W,240,116,41,81,50.6,17,41,41.5,17,23,73.9,8,38,46,30,6,4,17,20,18
UTA,UTA vs. SAC,44502,W,240,119,43,98,43.9,14,48,29.2,19,27,70.4,15,44,59,16,7,6,17,23,6
UTA,UTA @ MIL,44500,W,240,107,35,75,46.7,12,37,32.4,25,27,92.6,7,37,44,13,6,10,13,10,12
UTA,UTA @ CHI,44499,L,240,99,35,92,38,11,38,28.9,18,19,94.7,14,40,54,15,5,7,20,21,-8
UTA,UTA @ HOU,44497,W,240,122,41,85,48.2,16,46,34.8,24,30,80,10,48,58,24,8,4,20,23,31
UTA,UTA vs. DEN,44495,W,240,122,44,85,51.8,12,39,30.8,22,29,75.9,8,33,41,20,5,6,14,22,12
UTA,UTA @ SAC,44491,W,240,110,37,90,41.1,16,42,38.1,20,23,87,13,38,51,16,14,3,19,17,9
UTA,UTA vs. OKC,44489,W,240,107,40,91,44,14,47,29.8,13,15,86.7,12,41,53,18,6,5,10,19,21
WAS,WAS @ CHA,44517,L,240,87,33,90,36.7,8,42,19,13,16,81.3,11,37,48,23,7,5,11,12,-10
WAS,WAS vs. NOP,44515,W,240,105,39,84,46.4,10,28,35.7,17,25,68,6,36,42,23,9,4,6,22,5
WAS,WAS @ ORL,44513,W,240,104,42,84,50,12,35,34.3,8,10,80,7,41,48,29,6,7,16,17,12
WAS,WAS @ CLE,44510,W,240,97,35,84,41.7,10,28,35.7,17,17,100,12,37,49,25,9,2,12,20,3
WAS,WAS vs. MIL,44507,W,240,101,41,81,50.6,11,27,40.7,8,13,61.5,4,38,42,24,8,8,19,16,7
WAS,WAS vs. MEM,44505,W,240,115,49,84,58.3,10,25,40,7,13,53.8,5,48,53,34,4,6,19,13,28
